dropout,rmse_bps,epp_bps,time_ms
0.2,25.996028122282997,0.0,4827.260494232178
0.4,23.264551032811752,0.0,4806.68568611145
0.4,20.50372732924073,0.0,5202.794790267944
0.4,23.968472799454243,0.0,3835.9439373016357
0.6,19.076649445554164,0.0,3142.200469970703
0.6,17.374084926548086,0.0,3498.7611770629883
0.6,20.91090448683081,0.0,3239.9237155914307
0.2,16.55985030603949,0.0,4784.877777099609
0.2,13.297284102478972,0.0,5901.621341705322
0.2,14.898852375105259,0.0,4667.341232299805
0.4,20.765634565181198,0.0,4172.181844711304
0.4,16.417076691772657,0.0,3978.3129692077637
0.4,16.415335307412047,0.0,3999.429702758789
0.6,20.800886372036707,0.0,3224.4014739990234
0.6,19.196927067807618,0.0,3138.810873031616
0.6,25.0329655559312,0.0,2681.767225265503
0.2,19.237541557886264,0.0,5826.5721797943115
0.2,26.409663745958518,0.0,5712.051868438721
0.2,27.621162232726086,0.0,5165.651082992554
0.4,25.280119864293784,0.0,4808.52198600769
0.4,26.576369002077662,0.0,4891.756534576416
0.4,28.53432477426824,0.0,3916.5220260620117
0.6,34.87421144458988,0.0,2849.315643310547
0.6,25.0310182441202,0.0,3111.5670204162598
0.6,32.717394799006335,0.0,3382.4551105499268
0.2,17.134956715387762,0.0,5412.430047988892
0.2,15.40786187290196,0.0,5108.909845352173
0.2,17.07690523680335,0.0,5463.574647903442
0.4,17.64505523636218,0.0,4827.255725860596
0.4,19.095246562520078,0.0,3844.3245887756348
0.4,23.580526283950476,0.0,4402.525424957275
0.6,20.290986469603183,0.0,3867.429494857788
0.6,23.45660183770581,0.0,3085.63494682312
0.6,27.89452257505174,0.0,2702.5389671325684
0.2,16.509297632566334,0.0,5894.946336746216
0.2,15.126319467601832,0.0,5001.373052597046
0.2,14.859010312872211,0.0,5197.092771530151
0.4,17.38476350610587,0.0,4537.846565246582
0.4,17.89423933018741,0.0,3642.9386138916016
0.4,18.627743923653732,0.0,4089.639663696289
0.6,19.039450966297455,0.0,3515.5327320098877
0.6,17.180523522173612,0.0,3303.4110069274902
0.6,22.679234228690827,0.0,3119.4658279418945
0.2,26.741956052713928,0.0,5911.607265472412
0.2,12.296664395504328,0.0,5538.353443145752
0.2,20.869740435358466,0.0,4924.20220375061
0.4,31.788223643304754,0.0,3677.349090576172
0.4,16.16099867873874,0.0,4081.888437271118
0.4,20.481573798446455,0.0,3722.304105758667
0.6,36.52202835210582,0.0,3390.8731937408447
0.6,20.754426178807627,0.0,3811.414957046509
0.6,24.107924249090832,0.0,3129.7011375427246
0.2,10.588547151593497,0.0,6023.668527603149
0.2,16.59611170770758,0.0,5349.746942520142
0.2,14.119772553708662,0.0,5297.659635543823
0.4,18.250433643964715,0.0,4283.384799957275
0.4,17.70045758363223,0.0,3803.417444229126
0.4,20.592300474979815,0.0,4422.860860824585
0.6,17.120867164156873,0.0,3157.6249599456787
0.6,12.506273541586474,0.0,3417.262077331543
0.6,16.543002571071693,0.0,3232.912063598633
0.2,15.678796764114303,0.0,5542.430877685547
0.2,20.680943254663266,0.0,5593.453407287598
0.2,19.4265623235159,0.0,5271.482944488525
0.4,19.13865851423723,0.0,4412.954807281494
0.4,19.464020827009552,0.0,4317.0270919799805
0.4,23.536339645419936,0.0,3732.6440811157227
0.6,26.078697403937095,0.0,2868.9708709716797
0.6,30.85677818242665,0.0,3131.389856338501
0.6,24.060699353715428,0.0,2806.1065673828125
0.2,24.654019841238746,0.0,6162.928819656372
0.2,23.913760645185473,0.0,5427.3841381073
0.2,20.34516351461553,0.0,5045.467376708984
0.4,23.981841864030972,0.0,4012.322187423706
0.4,23.66436774182161,0.0,3684.6723556518555
0.4,27.528911183992353,0.0,4564.708232879639
0.6,19.422475001505802,0.0,2737.110137939453
0.6,20.17555648064154,0.0,2625.243663787842
0.6,26.259894314805194,0.0,3322.4196434020996
0.2,22.437343534279456,0.0,4637.8209590911865
0.2,21.520428888021677,0.0,4878.975629806519
0.2,25.012699198612484,0.0,5045.801401138306
0.4,21.03363664550286,0.0,3792.3595905303955
0.4,19.310993001063046,0.0,4626.498460769653
0.4,24.556544865604597,0.0,4072.57342338562
0.6,30.367239517467965,0.0,3093.1832790374756
0.6,19.29189006122157,0.0,3284.518003463745
0.6,31.604393771111706,0.0,3233.6578369140625
0.2,17.909980986703772,0.0,5251.997470855713
0.2,12.48297834056781,0.0,4879.068613052368
0.2,14.15021095698403,0.0,5712.590456008911
0.4,17.32883074622517,0.0,4261.4500522613525
0.4,27.775844035320954,0.0,4185.318946838379
0.4,18.397865628735648,0.0,4405.144929885864
0.6,20.59951905505431,0.0,3152.430772781372
0.6,22.755018842209054,0.0,3045.2353954315186
0.6,19.593245910259622,0.0,3294.4962978363037
0.2,22.71219574287494,0.0,4951.3256549835205
0.2,23.475230517546454,0.0,5433.215141296387
0.2,18.592656036112682,0.0,5047.860860824585
0.4,28.156936136428854,0.0,3807.8689575195312
0.4,16.670236539839888,0.0,3602.526903152466
0.4,23.534949098759235,0.0,3713.6282920837402
0.6,28.89655141113233,0.0,2821.85697555542
0.6,16.097902997116005,0.0,3207.421064376831
0.6,23.908227594045666,0.0,3335.1891040802
0.2,18.658662771909544,0.0,4532.932281494141
0.2,18.12355539762214,0.0,5008.643627166748
0.2,21.447706855555598,0.0,4712.28551864624
0.4,18.448568825776157,0.0,3327.2690773010254
0.4,15.446903738032471,0.0,3506.479263305664
0.4,22.216067678500888,0.0,3615.4158115386963
0.6,37.660591314020046,0.0,2438.0102157592773
0.6,22.33630647430273,0.0,2655.4908752441406
0.6,20.545213513102986,0.0,3001.498222351074
0.2,11.983357394286369,0.0,5199.939250946045
0.2,17.921730654918044,0.0,5761.441469192505
0.2,14.1109747579283,0.0,5737.4889850616455
0.4,12.837848334257844,0.0,3952.619791030884
0.4,15.304426500919844,0.0,4098.790884017944
0.4,18.35178257444296,0.0,4050.3149032592773
0.6,14.992932932909236,0.0,3359.4422340393066
0.6,23.477753452667383,0.0,3245.5482482910156
0.6,18.318323343847307,0.0,3483.7560653686523
0.2,15.974384300645648,0.0,4905.245542526245
0.2,15.401280820407274,0.0,4799.014091491699
0.2,16.521217087751634,0.0,5518.773317337036
0.4,13.497457683082729,0.0,4426.786422729492
0.4,14.43354997887019,0.0,3940.3042793273926
0.4,17.30565650606716,0.0,3846.761465072632
0.6,16.466841012434102,0.0,3108.4470748901367
0.6,23.41487323571726,0.0,3168.924331665039
0.6,18.57077694763832,0.0,3293.8907146453857
0.2,12.850813189258998,0.0,5697.524309158325
0.2,15.674417831933885,0.0,5603.562116622925
0.2,13.346361651492776,0.0,5509.438753128052
0.4,14.15586291617412,0.0,4549.020290374756
0.4,14.971805599254004,0.0,4031.7223072052
0.4,15.281441942054542,0.0,4608.628749847412
0.6,19.323260517035045,0.0,3122.9026317596436
0.6,19.981969908126285,0.0,3188.964366912842
0.6,19.746695279996537,0.0,3345.8409309387207
