model,dropout,surface,trial,rmse_bps,epp_bps,time_ms,epochs_trained
ICNN,0.2,10,2,493.3987971398663,0.0,3278.315782546997,255
ICNN,0.4,10,0,572.3112306398399,0.0,2685.093402862549,210
ICNN,0.4,10,1,583.7521717771344,0.0,2236.314296722412,181
ICNN,0.4,10,2,462.11849218793037,0.0,2581.4573764801025,208
ICNN,0.6,10,0,642.110488045878,0.0,2695.021152496338,222
ICNN,0.6,10,1,676.8069398149687,0.0,2080.9502601623535,175
ICNN,0.6,10,2,661.7053559668129,0.0,2629.9707889556885,213
ICNN,0.2,11,0,785.400288807941,0.0,2209.8238468170166,173
ICNN,0.2,11,1,704.9172243648138,0.0,2830.556631088257,219
ICNN,0.2,11,2,746.23122687722,0.0,2620.9940910339355,191
ICNN,0.4,11,0,639.4162048400505,0.0,2568.464756011963,203
ICNN,0.4,11,1,590.6381762717771,0.0,2284.7158908843994,186
ICNN,0.4,11,2,534.7406349648794,0.0,2279.4110774993896,179
ICNN,0.6,11,0,533.3103133729895,0.0,2550.4519939422607,208
ICNN,0.6,11,1,818.3457329779384,0.0,2176.8178939819336,180
ICNN,0.6,11,2,540.9169292013962,0.0,2335.3981971740723,186
ICNN,0.2,12,0,757.2941492013201,0.0,2340.4526710510254,182
ICNN,0.2,12,1,510.35877192952194,0.0,2178.8253784179688,171
ICNN,0.2,12,2,392.7931731483985,0.0,2430.9353828430176,192
ICNN,0.4,12,0,774.4682883615725,0.0,2294.8639392852783,184
ICNN,0.4,12,1,550.7094119935491,0.0,2563.969850540161,202
ICNN,0.4,12,2,515.0029536669972,0.0,2227.844476699829,178
ICNN,0.6,12,0,486.905609452912,0.0,2236.8388175964355,184
ICNN,0.6,12,1,686.4232612017448,0.0,2479.9113273620605,201
ICNN,0.6,12,2,532.6538029076864,0.0,2581.4478397369385,213
ICNN,0.2,13,0,522.8764233738806,0.0,2814.0687942504883,215
ICNN,0.2,13,1,582.3178393986182,0.0,2310.9028339385986,170
ICNN,0.2,13,2,335.58724035073135,0.0,2365.9260272979736,182
ICNN,0.4,13,0,498.2622170101544,0.0,2084.303617477417,167
ICNN,0.4,13,1,366.93742027183043,0.0,2226.8426418304443,174
ICNN,0.4,13,2,417.56835115017736,0.0,2228.8453578948975,180
ICNN,0.6,13,0,575.4662931123663,0.0,2010.2589130401611,164
ICNN,0.6,13,1,404.42202302759927,0.0,2490.9608364105225,203
ICNN,0.6,13,2,326.8288788166145,0.0,2519.4852352142334,205
