model,dropout,surface,trial,rmse_bps,epp_bps,regime,asset,time_ms
CINN,0.4,3,2,1016.9734711028646,0.0,normal,EURUSD,5251.179933547974
MLP,0.4,3,2,1647.2066854786774,0.0,normal,EURUSD,4741.594552993774
SVI,0.6,3,0,876.808119690993,0.0,normal,EURUSD,
CINN,0.6,3,0,1286.6455232121277,0.0,normal,EURUSD,5036.131381988525
MLP,0.6,3,0,1697.6557860778396,0.0,normal,EURUSD,5526.772975921631
SVI,0.6,3,1,821.7509320282996,0.0,normal,EURUSD,
CINN,0.6,3,1,1954.9170880282684,0.0,normal,EURUSD,4745.5949783325195
MLP,0.6,3,1,1211.2880270635287,0.0,normal,EURUSD,4719.060659408569
SVI,0.6,3,2,651.7422765574158,0.0,normal,EURUSD,
CINN,0.6,3,2,903.0318421643034,0.0,normal,EURUSD,7480.377674102783
MLP,0.6,3,2,1319.2890971564157,0.0,normal,EURUSD,6907.711744308472
SVI,0.2,4,0,744.4614196084391,0.0,low_vol,EURUSD,
CINN,0.2,4,0,1064.3601735326858,0.0,low_vol,EURUSD,17615.296125411987
MLP,0.2,4,0,1095.9091499124174,0.0,low_vol,EURUSD,10403.703927993774
SVI,0.2,4,1,749.6051903333558,0.0,low_vol,EURUSD,
CINN,0.2,4,1,779.6030593412834,0.0,low_vol,EURUSD,10613.3553981781
MLP,0.2,4,1,696.2047138738936,0.0,low_vol,EURUSD,12813.108444213867
SVI,0.2,4,2,683.5330535028305,0.0,low_vol,EURUSD,
CINN,0.2,4,2,925.1242356792746,0.0,low_vol,EURUSD,9979.367971420288
MLP,0.2,4,2,749.6673478593776,0.0,low_vol,EURUSD,10667.656421661377
SVI,0.4,4,0,920.2038160253617,0.0,low_vol,EURUSD,
CINN,0.4,4,0,1194.059376664458,1.4210854715202004e-10,low_vol,EURUSD,5082.985639572144
MLP,0.4,4,0,1170.1787910046896,0.0,low_vol,EURUSD,5286.753177642822
SVI,0.4,4,1,691.2998920307145,0.0,low_vol,EURUSD,
CINN,0.4,4,1,1514.6563458831852,0.0,low_vol,EURUSD,5018.5911655426025
MLP,0.4,4,1,2380.709557882699,375.1532211731501,low_vol,EURUSD,5756.367921829224
SVI,0.4,4,2,638.966562185936,0.0,low_vol,EURUSD,
CINN,0.4,4,2,1542.1888875613363,0.0,low_vol,EURUSD,5248.059034347534
MLP,0.4,4,2,1497.080065997584,0.0,low_vol,EURUSD,4780.332326889038
SVI,0.6,4,0,846.0431206817221,0.0,low_vol,EURUSD,
CINN,0.6,4,0,1318.5467715033167,0.0,low_vol,EURUSD,4672.1532344818115
MLP,0.6,4,0,889.5500650493854,0.0,low_vol,EURUSD,4858.189105987549
SVI,0.6,4,1,735.4738730179962,0.0,low_vol,EURUSD,
CINN,0.6,4,1,771.971602372659,0.0,low_vol,EURUSD,5362.4818325042725
MLP,0.6,4,1,668.2273631142285,0.0,low_vol,EURUSD,4803.855657577515
SVI,0.6,4,2,817.1500183736154,0.0,low_vol,EURUSD,
CINN,0.6,4,2,701.1360316742496,0.0,low_vol,EURUSD,4610.248804092407
MLP,0.6,4,2,1073.045587028708,4.021742336713652,low_vol,EURUSD,10071.63143157959
SVI,0.2,5,0,875.0658573632924,0.0,stress,EURUSD,
CINN,0.2,5,0,1166.3993238896846,0.0,stress,EURUSD,22408.334493637085
MLP,0.2,5,0,1052.6965624801846,0.0,stress,EURUSD,18269.295930862427
SVI,0.2,5,1,680.7803075536119,0.0,stress,EURUSD,
CINN,0.2,5,1,1684.9213075158848,0.0,stress,EURUSD,19182.2190284729
MLP,0.2,5,1,1880.2570776509685,0.0,stress,EURUSD,19714.515209197998
SVI,0.2,5,2,346.5740577127677,0.0,stress,EURUSD,
CINN,0.2,5,2,1630.4944599330718,0.0,stress,EURUSD,12742.297172546387
MLP,0.2,5,2,993.6801726788284,0.0,stress,EURUSD,10984.143733978271
SVI,0.4,5,0,778.4958900149344,0.0,stress,EURUSD,
CINN,0.4,5,0,1642.2578926518358,0.0,stress,EURUSD,7092.223644256592
MLP,0.4,5,0,1666.3078520983856,0.0,stress,EURUSD,6156.5210819244385
SVI,0.4,5,1,834.630938797803,0.0,stress,EURUSD,
CINN,0.4,5,1,1594.1758728395641,0.0,stress,EURUSD,8345.382452011108
MLP,0.4,5,1,2169.367635827046,0.0,stress,EURUSD,10220.735311508179
SVI,0.4,5,2,713.911518579322,0.0,stress,EURUSD,
CINN,0.4,5,2,1497.04152534651,0.0,stress,EURUSD,9792.479753494263
MLP,0.4,5,2,1471.8228564531717,0.0,stress,EURUSD,9840.311765670776
SVI,0.6,5,0,1267.007481246309,0.0,stress,EURUSD,
CINN,0.6,5,0,2103.588449063571,0.0,stress,EURUSD,6062.097072601318
MLP,0.6,5,0,1631.5037141414537,0.0,stress,EURUSD,6664.004564285278
SVI,0.6,5,1,1352.0341426651873,0.0,stress,EURUSD,
CINN,0.6,5,1,2312.383019064495,0.0,stress,EURUSD,5573.909044265747
MLP,0.6,5,1,1979.487854794566,0.0,stress,EURUSD,4873.370170593262
SVI,0.6,5,2,989.5008679517009,0.0,stress,EURUSD,
CINN,0.6,5,2,2125.3659831652617,0.0,stress,EURUSD,5969.571828842163
MLP,0.6,5,2,2012.1558479502628,0.0,stress,EURUSD,5054.49366569519
SVI,0.2,6,0,720.8239631299349,0.0,normal,EURUSD,
CINN,0.2,6,0,836.0755032364398,0.0,normal,EURUSD,10821.855068206787
MLP,0.2,6,0,786.4143351249858,0.0,normal,EURUSD,10552.886247634888
SVI,0.2,6,1,667.1210827858018,0.0,normal,EURUSD,
CINN,0.2,6,1,1313.8780808633392,0.0,normal,EURUSD,11942.78883934021
MLP,0.2,6,1,1395.060108125499,0.0,normal,EURUSD,10093.807220458984
SVI,0.2,6,2,480.03532710125273,0.0,normal,EURUSD,
CINN,0.2,6,2,849.1208522182561,0.0,normal,EURUSD,11060.391902923584
MLP,0.2,6,2,1159.5186330127242,0.0,normal,EURUSD,12755.353689193726
SVI,0.4,6,0,863.3067576029663,0.0,normal,EURUSD,
CINN,0.4,6,0,1564.454204186807,0.0,normal,EURUSD,6913.245677947998
MLP,0.4,6,0,905.0129404506669,0.0,normal,EURUSD,6060.184717178345
SVI,0.4,6,1,619.8766492299438,0.0,normal,EURUSD,
CINN,0.4,6,1,1845.2859247323784,0.0,normal,EURUSD,5847.863674163818
MLP,0.4,6,1,2179.4262804398827,0.0,normal,EURUSD,7275.793075561523
SVI,0.4,6,2,851.2097776628615,0.0,normal,EURUSD,
CINN,0.4,6,2,1536.168158896307,0.0,normal,EURUSD,9453.851699829102
MLP,0.4,6,2,2091.9873587944467,0.0,normal,EURUSD,7284.1174602508545
SVI,0.6,6,0,853.550351891102,0.0,normal,EURUSD,
CINN,0.6,6,0,1525.435619519057,0.0,normal,EURUSD,7347.156047821045
MLP,0.6,6,0,1806.7518562792065,6.725371927190013,normal,EURUSD,7780.4460525512695
SVI,0.6,6,1,792.0556296446991,0.0,normal,EURUSD,
CINN,0.6,6,1,1237.0519458568963,0.0,normal,EURUSD,7610.332727432251
MLP,0.6,6,1,1922.0915563936614,0.0,normal,EURUSD,7360.696315765381
SVI,0.6,6,2,892.7086818335424,0.0,normal,EURUSD,
CINN,0.6,6,2,1398.8885829589315,0.0,normal,EURUSD,5742.571830749512
MLP,0.6,6,2,1335.3618551393836,0.0,normal,EURUSD,5202.167272567749
SVI,0.2,7,0,578.4737207759912,0.0,low_vol,EURUSD,
CINN,0.2,7,0,776.2380593150313,0.0,low_vol,EURUSD,10867.731809616089
MLP,0.2,7,0,697.261677797716,0.0,low_vol,EURUSD,11467.240810394287
SVI,0.2,7,1,1072.1444120625106,0.0,low_vol,EURUSD,
CINN,0.2,7,1,1102.580520676084,1.865174681370263e-10,low_vol,EURUSD,10994.766473770142
MLP,0.2,7,1,1154.308487948393,0.0,low_vol,EURUSD,11448.489904403687
SVI,0.2,7,2,635.1952221118719,0.0,low_vol,EURUSD,
CINN,0.2,7,2,659.5408847592155,0.0,low_vol,EURUSD,11696.675300598145
MLP,0.2,7,2,898.380869271866,0.0,low_vol,EURUSD,11920.334339141846
SVI,0.4,7,0,765.7294183105794,0.0,low_vol,EURUSD,
CINN,0.4,7,0,741.1472089792022,0.0,low_vol,EURUSD,5764.099597930908
MLP,0.4,7,0,1389.4575009374755,0.0,low_vol,EURUSD,5794.815301895142
SVI,0.4,7,1,766.1794233882166,0.0,low_vol,EURUSD,
CINN,0.4,7,1,949.0392697188396,2.1316282072803006e-10,low_vol,EURUSD,5762.660503387451
MLP,0.4,7,1,874.4563866881258,0.0,low_vol,EURUSD,5859.672784805298
SVI,0.4,7,2,715.567158711437,0.0,low_vol,EURUSD,
CINN,0.4,7,2,1130.4644361037479,1.5987211554602254e-10,low_vol,EURUSD,5952.359676361084
MLP,0.4,7,2,1040.3179742042364,7.154701995427809,low_vol,EURUSD,6168.458461761475
SVI,0.6,7,0,763.4110133976288,0.0,low_vol,EURUSD,
CINN,0.6,7,0,878.6491386482813,3.552713678800501e-11,low_vol,EURUSD,5640.479326248169
MLP,0.6,7,0,840.5800926482522,0.0,low_vol,EURUSD,5327.410697937012
SVI,0.6,7,1,740.2162654767571,0.0,low_vol,EURUSD,
CINN,0.6,7,1,1638.0159170687878,0.0,low_vol,EURUSD,5492.9540157318115
MLP,0.6,7,1,627.0182412133099,0.0,low_vol,EURUSD,5809.682369232178
SVI,0.6,7,2,821.9142478630621,0.0,low_vol,EURUSD,
CINN,0.6,7,2,1213.5402922532385,1.4210854715202004e-10,low_vol,EURUSD,5851.725816726685
MLP,0.6,7,2,1712.0456759308306,0.0,low_vol,EURUSD,5385.356426239014
SVI,0.2,8,0,1256.0183729274167,0.0,stress,EURUSD,
CINN,0.2,8,0,2346.205582126686,0.0,stress,EURUSD,11584.964275360107
MLP,0.2,8,0,2645.230326322533,0.0,stress,EURUSD,11746.602058410645
SVI,0.2,8,1,566.3100344473132,0.0,stress,EURUSD,
CINN,0.2,8,1,2386.1681807159803,0.0,stress,EURUSD,11030.062198638916
MLP,0.2,8,1,1124.0954688594315,0.0,stress,EURUSD,11694.907188415527
SVI,0.2,8,2,386.0793588557527,0.0,stress,EURUSD,
CINN,0.2,8,2,1383.5123695308923,0.0,stress,EURUSD,11586.95650100708
MLP,0.2,8,2,1485.7931718377915,0.0,stress,EURUSD,11034.459114074707
SVI,0.4,8,0,844.8272906800543,0.0,stress,EURUSD,
CINN,0.4,8,0,1562.2085191209796,0.0,stress,EURUSD,6189.996719360352
MLP,0.4,8,0,2556.399801106224,0.0,stress,EURUSD,5965.165853500366
SVI,0.4,8,1,744.1721220229691,0.0,stress,EURUSD,
CINN,0.4,8,1,1875.8124850905654,0.0,stress,EURUSD,5543.581008911133
MLP,0.4,8,1,1636.3471326519277,0.0,stress,EURUSD,5451.258897781372
SVI,0.4,8,2,1335.4031474667875,0.0,stress,EURUSD,
CINN,0.4,8,2,1275.1498566441371,0.0,stress,EURUSD,5734.015464782715
MLP,0.4,8,2,1278.4384461447928,0.0,stress,EURUSD,6211.897373199463
SVI,0.6,8,0,1106.322066500675,0.0,stress,EURUSD,
CINN,0.6,8,0,1645.5574983134065,0.0,stress,EURUSD,5689.6514892578125
MLP,0.6,8,0,1243.7247306431584,0.0,stress,EURUSD,5369.7943687438965
SVI,0.6,8,1,873.0254268944118,0.0,stress,EURUSD,
CINN,0.6,8,1,1875.2078220568244,0.0,stress,EURUSD,6218.989133834839
MLP,0.6,8,1,1895.1560629724715,0.0,stress,EURUSD,6207.993984222412
SVI,0.6,8,2,1092.5531024842746,0.0,stress,EURUSD,
CINN,0.6,8,2,1864.324560825179,0.0,stress,EURUSD,5903.822183609009
MLP,0.6,8,2,1451.4550588586442,0.0,stress,EURUSD,5565.833806991577
SVI,0.2,9,0,596.4865362453935,0.0,normal,EURUSD,
CINN,0.2,9,0,1888.7832788016,1.4210854715202004e-10,normal,EURUSD,10477.580070495605
MLP,0.2,9,0,1281.7696005801047,0.0,normal,EURUSD,11346.146821975708
SVI,0.2,9,1,725.2353986044861,0.0,normal,EURUSD,
CINN,0.2,9,1,1263.5035291952538,0.0,normal,EURUSD,11107.362031936646
MLP,0.2,9,1,1392.571978256081,0.0,normal,EURUSD,11256.942510604858
SVI,0.2,9,2,450.5541612310307,0.0,normal,EURUSD,
CINN,0.2,9,2,1134.2416384247888,0.0,normal,EURUSD,11157.554149627686
MLP,0.2,9,2,700.6790643094321,0.0,normal,EURUSD,10795.729637145996
SVI,0.4,9,0,570.2043681948915,0.0,normal,EURUSD,
CINN,0.4,9,0,1289.432926683497,0.0,normal,EURUSD,5709.432125091553
MLP,0.4,9,0,1509.8847965631992,0.0,normal,EURUSD,5603.528261184692
SVI,0.4,9,1,535.291933306962,0.0,normal,EURUSD,
CINN,0.4,9,1,2223.1195426896707,0.0,normal,EURUSD,5730.583906173706
MLP,0.4,9,1,1543.3096333591832,0.0,normal,EURUSD,5877.988815307617
SVI,0.4,9,2,468.2433403536355,0.0,normal,EURUSD,
CINN,0.4,9,2,1025.7513728259698,0.0,normal,EURUSD,10764.458417892456
MLP,0.4,9,2,1323.2991653070542,0.0,normal,EURUSD,13032.820463180542
SVI,0.6,9,0,824.6857302885854,0.0,normal,EURUSD,
CINN,0.6,9,0,1923.493656624522,1.4210854715202004e-10,normal,EURUSD,6889.796018600464
MLP,0.6,9,0,1475.2358343778665,0.0,normal,EURUSD,5239.686727523804
SVI,0.6,9,1,968.0329911597074,0.0,normal,EURUSD,
CINN,0.6,9,1,1071.4865188397587,0.0,normal,EURUSD,5288.485527038574
MLP,0.6,9,1,1029.9144560574582,0.0,normal,EURUSD,7526.611804962158
SVI,0.6,9,2,773.807025616062,0.0,normal,EURUSD,
CINN,0.6,9,2,1532.4983370229174,0.0,normal,EURUSD,6917.836666107178
MLP,0.6,9,2,2182.5693445608545,70.40356193934727,normal,EURUSD,13292.770624160767
SVI,0.2,10,0,688.5911813413849,0.0,low_vol,EURUSD,
CINN,0.2,10,0,827.2207142730941,0.0,low_vol,EURUSD,20536.739826202393
MLP,0.2,10,0,837.2753886100043,0.0,low_vol,EURUSD,22565.74773788452
SVI,0.2,10,1,816.8752151439498,0.0,low_vol,EURUSD,
CINN,0.2,10,1,671.8208919056042,0.0,low_vol,EURUSD,22971.832275390625
MLP,0.2,10,1,835.0798130276296,0.0,low_vol,EURUSD,19860.522031784058
SVI,0.2,10,2,787.7587500522387,0.0,low_vol,EURUSD,
CINN,0.2,10,2,809.4501812500714,0.0,low_vol,EURUSD,16414.803743362427
MLP,0.2,10,2,787.078938087264,0.0,low_vol,EURUSD,18400.444507598877
SVI,0.4,10,0,882.3680523660098,0.0,low_vol,EURUSD,
CINN,0.4,10,0,751.181754567759,0.0,low_vol,EURUSD,7040.2350425720215
MLP,0.4,10,0,606.799102027568,0.0,low_vol,EURUSD,7535.831689834595
SVI,0.4,10,1,838.3195869579695,0.0,low_vol,EURUSD,
CINN,0.4,10,1,753.9822234369724,0.0,low_vol,EURUSD,7055.136442184448
MLP,0.4,10,1,2306.2870372917423,0.0,low_vol,EURUSD,11514.973163604736
SVI,0.4,10,2,631.1902452275878,0.0,low_vol,EURUSD,
CINN,0.4,10,2,1026.179547563136,1.7763568394002505e-10,low_vol,EURUSD,6012.925148010254
MLP,0.4,10,2,588.6483357528977,0.0,low_vol,EURUSD,5080.471992492676
SVI,0.6,10,0,886.533959166729,0.0,low_vol,EURUSD,
CINN,0.6,10,0,1093.4236780316608,1.865174681370263e-10,low_vol,EURUSD,4871.602535247803
MLP,0.6,10,0,879.8440705520836,0.0,low_vol,EURUSD,4871.070623397827
SVI,0.6,10,1,844.0092005573435,0.0,low_vol,EURUSD,
CINN,0.6,10,1,593.0224720811449,0.0,low_vol,EURUSD,4885.659456253052
MLP,0.6,10,1,556.8216801798901,0.0,low_vol,EURUSD,4808.220624923706
SVI,0.6,10,2,608.1134987960831,0.0,low_vol,EURUSD,
CINN,0.6,10,2,1853.6419854588885,0.0,low_vol,EURUSD,4985.894203186035
MLP,0.6,10,2,1142.5375683987784,0.0,low_vol,EURUSD,6096.027135848999
SVI,0.2,11,0,934.5873629246892,0.0,stress,EURUSD,
CINN,0.2,11,0,2336.9070306801113,0.0,stress,EURUSD,13036.871910095215
MLP,0.2,11,0,2599.404673160282,0.0,stress,EURUSD,9932.84273147583
SVI,0.2,11,1,1510.9016739382664,0.0,stress,EURUSD,
CINN,0.2,11,1,1880.3869209094948,0.0,stress,EURUSD,9927.25658416748
MLP,0.2,11,1,1779.5887757257124,0.0,stress,EURUSD,11736.406564712524
SVI,0.2,11,2,577.8899766130377,0.0,stress,EURUSD,
CINN,0.2,11,2,2215.857071796991,0.0,stress,EURUSD,16141.009092330933
MLP,0.2,11,2,1578.8633043322855,0.0,stress,EURUSD,14170.434713363647
SVI,0.4,11,0,1124.0169374980194,0.0,stress,EURUSD,
CINN,0.4,11,0,2052.253325701152,0.0,stress,EURUSD,6633.840799331665
MLP,0.4,11,0,1998.2615493660458,0.0,stress,EURUSD,5726.80401802063
SVI,0.4,11,1,1136.6930520344508,0.0,stress,EURUSD,
CINN,0.4,11,1,2047.5150982969842,0.0,stress,EURUSD,5515.5744552612305
MLP,0.4,11,1,2130.736323662805,0.0,stress,EURUSD,5410.84623336792
SVI,0.4,11,2,1197.6239740590001,0.0,stress,EURUSD,
CINN,0.4,11,2,1935.2469391311695,0.0,stress,EURUSD,5401.134014129639
MLP,0.4,11,2,2522.7247226491404,0.0,stress,EURUSD,6347.85270690918
SVI,0.6,11,0,1093.1482948217852,0.0,stress,EURUSD,
CINN,0.6,11,0,1713.7537079100068,0.0,stress,EURUSD,5280.019044876099
MLP,0.6,11,0,1640.7019917130717,0.0,stress,EURUSD,4819.903373718262
SVI,0.6,11,1,1313.1810841666334,0.0,stress,EURUSD,
CINN,0.6,11,1,2563.0382077665035,0.0,stress,EURUSD,4748.1958866119385
MLP,0.6,11,1,2104.8664775863003,0.0,stress,EURUSD,4824.390411376953
SVI,0.6,11,2,1497.112733998419,0.0,stress,EURUSD,
CINN,0.6,11,2,1436.068522111139,0.0,stress,EURUSD,5092.049598693848
MLP,0.6,11,2,1421.4721482950183,0.0,stress,EURUSD,6251.61075592041
SVI,0.2,12,0,661.0885076067292,0.0,normal,EURUSD,
CINN,0.2,12,0,941.172240146215,0.0,normal,EURUSD,10063.401937484741
MLP,0.2,12,0,1124.602051739016,0.0,normal,EURUSD,9224.89309310913
