model,dropout,rmse_bps,epp_bps,time_ms
AH,0.6,749.3539189067135,0.0,20.0045108795166
AH (PL),0.6,11162.453082393531,0.0,1695.2815055847168
AH,0.6,996.6784308428203,0.0,19.005298614501953
AH (PL),0.6,12700.576773877967,0.0,1702.4846076965332
AH,0.2,1144.2520296194405,0.0,38.5894775390625
AH (PL),0.2,10882.931959825528,0.0,3581.125020980835
AH,0.2,779.3663461369784,0.0,37.02545166015625
AH (PL),0.2,12012.679763713526,0.0,3584.02681350708
AH,0.4,693.190943456065,0.0,29.51955795288086
AH (PL),0.4,11455.391080183668,0.0,2743.800401687622
AH,0.4,898.855317060472,0.0,28.07760238647461
AH (PL),0.4,12559.227299054432,0.0,2577.2931575775146
AH,0.6,751.7218186443667,0.0,23.51546287536621
AH (PL),0.6,12448.378618887593,0.0,2061.709403991699
AH,0.6,615.5197018470969,0.0,20.01476287841797
AH (PL),0.6,11276.853667963964,0.0,1828.481674194336
AH,0.2,518.8097208258374,0.0,38.00845146179199
AH (PL),0.2,11365.50828945043,0.0,3576.8980979919434
AH,0.2,352.18878034815634,0.0,36.53454780578613
AH (PL),0.2,13895.166736617552,0.0,3442.384958267212
AH,0.4,618.8428697155999,0.0,30.01713752746582
AH (PL),0.4,13455.520302794064,0.0,2755.281686782837
AH,0.4,773.9232047042317,0.0,27.518749237060547
AH (PL),0.4,13497.945256894547,0.0,2573.0135440826416
AH,0.6,626.375296953249,0.0,32.51934051513672
AH (PL),0.6,10584.630097841504,0.0,1902.890920639038
AH,0.6,691.1588428942518,0.0,20.514488220214844
AH (PL),0.6,12333.624347772455,0.0,1825.2620697021484
AH,0.2,830.7155648861225,0.0,41.45669937133789
AH (PL),0.2,11612.370263450397,0.0,3863.554000854492
AH,0.2,836.6476492044786,0.0,36.75055503845215
AH (PL),0.2,11628.182320248561,0.0,3428.5202026367188
AH,0.4,471.75440293644135,0.0,31.69870376586914
AH (PL),0.4,10402.411875000698,0.0,2666.17488861084
AH,0.4,867.6441646603898,0.0,30.013084411621094
AH (PL),0.4,11937.558155547624,0.0,2722.393274307251
AH,0.6,751.9378228828275,0.0,21.00682258605957
AH (PL),0.6,13916.246654817902,0.0,1892.8167819976807
AH,0.6,676.4229243758529,0.0,23.449182510375977
AH (PL),0.6,11958.212490514325,0.0,2008.7077617645264
AH,0.2,765.5577059631681,0.0,40.518760681152344
AH (PL),0.2,13948.549766748309,0.0,3999.5627403259277
AH,0.2,701.6609201689562,0.0,36.531686782836914
AH (PL),0.2,13399.25896211804,0.0,3228.261709213257
AH,0.4,732.7041719758422,0.0,34.52157974243164
AH (PL),0.4,13803.601536272963,0.0,2958.1832885742188
AH,0.4,565.6081419815787,0.0,26.51524543762207
AH (PL),0.4,14135.839490200227,0.0,2448.7569332122803
AH,0.6,901.344688235832,0.0,21.513700485229492
AH (PL),0.6,11482.60440344183,0.0,1904.8962593078613
AH,0.6,771.4088957703547,0.0,19.005298614501953
AH (PL),0.6,9614.047337851887,0.0,1712.1713161468506
AH,0.2,1906.5761095357761,0.0,38.0094051361084
AH (PL),0.2,15956.243079008213,0.0,3754.0483474731445
AH,0.2,932.9560439444585,0.0,36.525726318359375
AH (PL),0.2,14782.311136766924,0.0,3451.8654346466064
AH,0.4,3728.665814689038,0.0,28.5189151763916
AH (PL),0.4,13721.953112429068,0.0,2622.2825050354004
AH,0.4,1663.7683481754564,0.0,27.008771896362305
AH (PL),0.4,15183.408760750553,0.0,2533.6077213287354
AH,0.6,880.2396576981552,0.0,18.511056900024414
AH (PL),0.6,14347.708911903348,0.0,1644.9105739593506
AH,0.6,1352.8606643715902,0.0,18.004179000854492
AH (PL),0.6,13172.975012287605,0.0,1647.9322910308838
AH,0.2,1007.3867112467564,0.0,37.03904151916504
AH (PL),0.2,13276.848191682371,0.0,3522.4056243896484
AH,0.2,826.8249186830604,0.0,34.501075744628906
AH (PL),0.2,14193.897016892695,0.0,3181.9019317626953
AH,0.4,908.9827974895509,0.0,27.01711654663086
AH (PL),0.4,14532.214190760953,0.0,2552.5450706481934
AH,0.4,4805.152953130863,0.0,25.012731552124023
AH (PL),0.4,12995.192278683371,0.0,2298.9609241485596
AH,0.6,837.041839811481,0.0,18.01013946533203
AH (PL),0.6,12095.951595084156,0.0,1614.1889095306396
AH,0.6,981.6762448029588,0.0,16.983985900878906
AH (PL),0.6,12224.262519903259,0.0,1568.598747253418
AH,0.2,763.805943414652,0.0,35.01415252685547
AH (PL),0.2,14545.157843912493,0.0,3386.929750442505
AH,0.2,1550.206242140723,0.0,36.527395248413086
AH (PL),0.2,10753.76863080531,0.0,3478.8904190063477
AH,0.4,626.6458287932676,0.0,30.00664710998535
AH (PL),0.4,13287.52348813599,0.0,2712.266445159912
AH,0.4,1435.2136202861493,0.0,31.006813049316406
AH (PL),0.4,11501.28601637262,0.0,2790.642023086548
AH,0.6,562.8121046896763,0.0,19.514083862304688
AH (PL),0.6,12254.258033048145,0.0,1747.023582458496
AH,0.6,1474.7174011076686,0.0,19.515275955200195
AH (PL),0.6,13048.401667489032,0.0,1752.8855800628662
AH,0.2,663.0821552347005,0.0,37.00828552246094
AH (PL),0.2,12381.621884898484,0.0,3548.1629371643066
AH,0.2,769.9055808154507,0.0,38.00058364868164
AH (PL),0.2,14990.73288971582,0.0,3591.5749073028564
AH,0.4,768.322276024974,0.0,27.654409408569336
AH (PL),0.4,9067.345508942264,0.0,2457.577705383301
AH,0.4,976.0326590587632,0.0,29.5257568359375
AH (PL),0.4,13546.206632246045,0.0,2725.3918647766113
AH,0.6,1012.6517561893231,0.0,20.0042724609375
AH (PL),0.6,13041.792751560675,0.0,1826.5771865844727
AH,0.6,1011.1017214568999,0.0,22.51911163330078
AH (PL),0.6,11593.565480625533,0.0,2071.493625640869
AH,0.2,4563.009264000332,0.0,36.03339195251465
AH (PL),0.2,11645.17074622399,0.0,3377.235174179077
AH,0.2,1148.5533202273416,0.0,36.0262393951416
AH (PL),0.2,10969.234377338964,0.0,3379.537582397461
AH,0.4,930.0310290592731,0.0,27.516841888427734
AH (PL),0.4,12906.7224244775,0.0,2458.2695960998535
AH,0.4,2685.7786669373113,0.0,25.00629425048828
AH (PL),0.4,12474.590809350155,0.0,2282.1264266967773
AH,0.6,1326.373539432914,0.0,17.021656036376953
AH (PL),0.6,13693.731447367445,0.0,1561.081886291504
AH,0.6,951.3052740517281,0.0,19.010305404663086
AH (PL),0.6,12342.56235831397,0.0,1780.8289527893066
AH,0.2,748.165158386431,0.0,37.5208854675293
AH (PL),0.2,12742.239667889995,0.0,3254.056215286255
AH,0.2,1067.838466885642,0.0,36.333560943603516
AH (PL),0.2,16108.165997240769,0.0,3443.6068534851074
AH,0.4,785.8066397735445,0.0,23.515701293945312
AH (PL),0.4,12646.526604497476,0.0,2145.3189849853516
AH,0.4,1204.8946800784422,0.0,27.515888214111328
AH (PL),0.4,13065.373348935125,0.0,2454.3983936309814
